controller,time_s,x_m,y_m,speed_mps,yaw_rad,accel_command_mps2,steer_command_rad,speed_command_mps,cross_track_error_m,heading_error_rad,controller_update_ms,controller_iterations,controller_status,progress_m,lap_count,collision
MPC,7.909999999999876,-38.38112588345568,25.430956912568426,7.964330833888608,3.128356063899619,-0.3717997366494033,0.03455787426981806,7.9271508602236676,0.14817847645730695,0.11574186972745792,0.4103999999998109,2,optimal,49.5868669,0,0
MPC,8.009999999999874,-39.17236389632139,25.498096341191005,7.931659928403423,3.1808136481549996,-0.6585041963800957,0.050578181654648446,7.865809508765413,0.150070194369904,0.08102635776307032,0.6018000000005408,3,optimal,50.386655,0,0
MPC,8.109999999999872,-39.961456622140766,25.507432502437034,7.873795636848481,3.2566267870816223,-0.8932329494754285,0.052488144088918935,7.784472341900938,0.16459886022571793,0.07125319409298969,0.5843999999997074,3,optimal,51.1864432,0,0
MPC,8.20999999999987,-40.74147092478056,25.452910932566116,7.795305185156518,3.3723037470977935,-1.4517933912428589,0.020743067977235734,7.650125846032232,0.15224317772963314,0.1253785370994276,0.41309999999983305,2,optimal,51.7862843,0,0
MPC,8.309999999999867,-41.501793449001774,25.326382328711112,7.66773273151049,3.480182762851684,-1.5436150466163527,-0.002525019393035958,7.5133712268488555,0.12709486762056024,0.15427170138982582,0.507499999999883,3,optimal,52.5860725,0,0
MPC,8.409999999999865,-42.23438611457312,25.133447185349276,7.532091695968102,3.5381420713474867,-1.4628026544951227,0.00039417066679176254,7.38581143051859,0.09791445265767722,0.136289685320369,0.5931000000001241,3,optimal,53.3858607,0,0
MPC,8.509999999999863,-42.939737588178836,24.89487469724388,7.403551832817114,3.5482809410936516,-1.3174384783010897,0.03444630551348976,7.271807984987005,0.10571935345437897,0.07306591518184202,0.3749999999995701,2,optimal,54.1856489,0,0
MPC,8.60999999999986,-43.622942101642906,24.630300785202387,7.287785457092895,3.5657128840588315,-1.5270673579132044,0.06064597328324838,7.135078721301574,0.08227631692260479,0.03638590680484999,0.5452999999993047,3,optimal,54.78549,0,0
MPC,8.709999999999859,-44.282319442915906,24.341618891778005,7.153598505349733,3.644376307467574,-1.3692837554155177,0.07777912072325717,7.0166701298081815,0.08198077246970228,0.03509746668468594,0.6457000000001933,3,optimal,55.5852782,0,0
MPC,8.809999999999857,-44.909116334238504,24.0141523428271,7.033276364837397,3.7639141693270055,-1.4916437527055424,0.05976527898235974,6.884111989566843,0.11291005911756087,0.08346510790972639,0.5451999999994683,3,optimal,56.1851193,0,0
MPC,8.909999999999854,-45.49098981796532,23.63533804875448,6.9022021674714,3.890124226128371,-1.249209600348365,0.06443477821585569,6.777281207436563,0.11267598013996591,0.1007017692802199,0.3675999999996904,2,optimal,56.9849075,0,0
MPC,9.009999999999852,-46.01755665181753,23.20104213869374,6.792431221553134,4.011722818558896,-1.2939415779439416,0.05522381162177633,6.66303706375874,0.1061433638592832,0.1294499046683737,0.37039999999954887,2,optimal,57.5847486,0,0
MPC,9.10999999999985,-46.48122462632232,22.71558525848831,6.678729572979292,4.130176775715495,-1.3648261563088102,0.05180927803109863,6.542246957348411,0.13022010489926486,0.14468598545554956,0.37979999999970815,2,optimal,58.1845898,0,0
