controller,time_s,x_m,y_m,speed_mps,yaw_rad,accel_command_mps2,steer_command_rad,speed_command_mps,cross_track_error_m,heading_error_rad,controller_update_ms,controller_iterations,controller_status,progress_m,lap_count,collision
Pure Pursuit,10.909999999999812,-44.74373245561152,11.900729184915917,6.005056186639768,4.726428697636186,-0.9902768663976858,-0.0676134536032743,5.9060285,0.11267383514672773,0.08528366170879309,0.0548000000000215,0,not_applicable,69.7815183,0,0
Pure Pursuit,11.00999999999981,-44.70936295577207,11.307302556770141,5.918038260812801,4.625271942406873,-0.9658386081280046,-0.09697779616048442,5.8214544,0.12233278673588328,0.06515183412383951,0.05720000000009051,0,not_applicable,70.3813594,0,0
Pure Pursuit,11.109999999999808,-44.74491166642292,10.722608179525247,5.833167781440062,4.4854830273844275,-0.9507628144006208,-0.10993373670275321,5.7380915,0.14129186315498263,0.06273989517830536,0.060700000000135645,0,not_applicable,70.9812006,0,0
Pure Pursuit,11.209999999999805,-44.86050976665748,10.15707557997457,5.749622047040035,4.314291447027024,-0.9369964704003575,-0.10975441884805817,5.6559224,0.17206068757263387,0.06789452679177099,0.060699999999691556,0,not_applicable,71.5810417,0,0
Pure Pursuit,11.309999999999803,-45.061638799781925,9.624964680724645,5.667285993227096,4.14186361125134,-0.6548829322709615,-0.10115707245619257,5.6017977,0.18479067239115685,0.11629202602667643,0.05870000000030018,0,not_applicable,71.9809358,0,0
Pure Pursuit,11.409999999999801,-45.345634551659366,9.139711419463847,5.609739910551247,3.9766024658200885,-0.8815971055124727,-0.097198855386511,5.5215802,0.18582519388094376,0.1054649665576437,0.05489999999985784,0,not_applicable,72.5807769,0,0
Pure Pursuit,11.509999999999799,-45.70223352156448,8.714185037607615,5.532271927465045,3.8110342573872695,-0.8976042746504476,-0.05847892544913133,5.4425115,0.19786409494447507,0.12763026643249953,0.0556000000000445,0,not_applicable,73.180618,0,0
Pure Pursuit,11.609999999999797,-46.11683526132131,8.356585841019157,5.453397357287886,3.6754335056180474,-0.6321995728788643,-0.015212415412977564,5.3901774,0.17353336459119245,0.18608841618991523,0.05390000000016215,0,not_applicable,73.5805121,0,0
Pure Pursuit,11.709999999999795,-46.56727762862337,8.056140100747884,5.39784451403029,3.6195964285435784,-0.01900914030290579,0.0012368431847853802,5.3959436,0.11831778325481278,0.15261122334654686,0.11079999999985546,0,not_applicable,74.1803533,0,0
Pure Pursuit,11.809999999999793,-47.035620812241135,7.788061244544832,5.39617413676809,3.621844567711622,1.5759736323190943,0.006779927987693279,5.5537715,0.10497267391245226,0.09202575970785043,0.3356999999999388,0,not_applicable,74.7801944,0,0
